id;nome;ativo
103;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ARAGUARI;0
104;FACULDADE DE CIENCIAS ECONOMICAS DE PATOS;0
105;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE PATOS;0
106;FACULDADE DE EDUCACAO DE PATOS;0
107;UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI;1
108;ESCOLA SUPERIOR DE EDUCACAO FISICA E TECNICAS DESPORTIVAS DE ANDRADINA;0
109;FACULDADES INTEGRADAS RUI BARBOSA;1
110;FACULDADE DE DIREITO DE SETE LAGOAS;0
111;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SETE LAGOAS;0
122;FACULDADE DE ENGENHARIA DE AGRIMENSURA DE ARARAQUARA;0
123;FACULDADE DE ENGENHARIA CIVIL DE ARARAQUARA;0
124;UNIVERSIDADE DE ARARAQUARA;1
125;CENTRO UNIVERSITARIO DE ARARAS;1
126;INSTITUTO NACIONAL DE TELECOMUNICACOES;1
127;FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE ATIBAIA;0
128;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TEOFILO OTONI;0
129;FACULDADE DE DIREITO DE TEOFILO OTONI;0
130;FACULDADE DE ADMINISTRACAO DE TEOFILO OTONI;0
131;FACULDADE VERITAS COLLEGE;0
132;FACULDADE DE EDUCACAO ANTONIO AUGUSTO REIS NEVES;0
133;FACULDADE DE CIENCIAS CONTABEIS DE BARRETOS;0
134;FACULDADE DE TECNOLOGIA E PROCESSAMENTO DE DADOS BARRETOS;0
135;CLARETIANO CENTRO UNIVERSITARIO;1
136;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE BEBEDOURO;0
137;CENTRO UNIVERSITARIO SAGRADO CORACAO;1
138;CENTRO UNIVERSITARIO BARAO DE MAUA;1
139;FACULDADE UNIBRASILIA DE CIENCIAS ECONOMICAS DE MINAS GERAIS;0
140;UNIVERSIDADE DE VASSOURAS;1
141;FACULDADE DE DIREITO DE VARGINHA FADIVA;1
142;CENTRO UNIVERSITARIO DO TRIANGULO;1
143;UNIVERSIDADE DE UBERABA;1
144;FACULDADE DE CIENCIAS HUMANAS DE OLINDA;1
145;FACULDADE DE CIENCIAS HUMANAS E SOCIAIS;0
146;CENTRO UNIVERSITARIO DE RIO PRETO;1
149;FACULDADE DE MEDICINA DE SAO JOSE DO RIO PRETO;1
150;UNIVERSIDADE DE SOROCABA;1
151;ESCOLA DE ADMINISTRACAO DE EMPRESAS DE SAO PAULO FGV EAESP;1
152;FACULDADE DE CIENCIAS CONTABEIS;1
158;CONSERVATORIO BRASILEIRO DE MUSICA CENTRO UNIVERSITARIO BRASILEIRO DE EDUCACAO;1
159;FACULDADE NOVA ROMA CARUARU;1
160;CENTRO UNIVERSITARIO FRASSINETTI DO RECIFE;1
161;CENTRO UNIVERSITARIO ASSUNCAO;1
162;CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO;1
163;UNIVERSIDADE ESTACIO DE SA;1
165;UNIVERSIDADE VEIGA DE ALMEIDA;1
166;FAI CENTRO DE ENSINO SUPERIOR EM GESTAO TECNOLOGIA E EDUCACAO;1
167;UNIVERSIDADE METODISTA DE SAO PAULO;1
170;FUNVIC FACULDADE FUNVIC DE MOCOCA;1
171;FACULDADE DE DIREITO DO SUL DE MINAS;1
172;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS EUGENIO PACELLI;0
173;FACULDADE DE CIENCIAS MEDICAS DR JOSE ANTONIO GARCIA COUTINHO;0
174;INSTITUTO SUPERIOR DE ESTUDOS SOCIAIS CLOVIS BEVILACQUA;0
176;UNIVERSIDADE CASTELO BRANCO;1
177;FACULDADE DE CIENCIAS ECONOMICAS E DE ADMINISTRACAO DE EMPRESAS DE SAO JOSE DO RIO PRETO;0
178;FACULDADE DE ENGENHARIA DE SAO JOSE DO RIO PRETO;0
179;FACULDADE DE ARQUITETURA E URBANISMO DE SAO JOSE DO RIO PRETO;0
180;FACULDADE DE DIREITO DE CARUARU;0
181;FACULDADE DE ODONTOLOGIA DE CARUARU;0
190;ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDACAO TECNICOEDUCACIONAL SOUZA MARQUES;1
191;FACULDADE DE CIENCIAS CONTABEIS E DE ADMINISTRACAO DE EMPRESAS;1
192;FACULDADE SOUZA MARQUES;1
193;FACULDADE DE ENGENHARIA SOUZA MARQUES;1
194;ESCOLA DE ENFERMAGEM DA FUNDACAO TECNICO EDUCACIONAL SOUZA MARQUES;1
195;FACULDADE PRESBITERIANA MACKENZIE RIO;1
197;FACULDADE DE EDUCACAO SUPERIOR DO PARANA;1
198;CENTRO UNIVERSITARIO DA CIDADE;0
199;FACULDADE SAO LUIS;0
200;FACULDADE CASPER LIBERO;1
201;FACULDADE BRASILEIRA DE CIENCIAS JURIDICAS;0
202;FACULDADE DO RIO DE JANEIRO;1
203;UNIVERSIDADE SAO JUDAS TADEU;1
206;CENTRO UNIVERSITARIO CATOLICO ITALO BRASILEIRO;1
207;CENTRO UNIVERSITARIO MOURA LACERDA;1
208;UNIVERSIDADE DE RIBEIRAO PRETO;1
210;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SANTO ANDRE;0
211;FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTR1S DE SANTO ANDRE;0
212;FACULDADE DE FILOSOFIA DE CAMPO GRANDE;0
213;CENTRO UNIVERSITARIO ALVARES PENTEADO;1
214;FACULDADE DE ENGENHARIA DE MINAS GERAIS FEAMIG;1
215;UNIVERSIDADE DO GRANDE ABC;0
216;CENTRO UNIVERSITARIO METODISTA IZABELA HENDRIX;1
217;CENTRO UNIVERSITARIO DAS FACULDADES ASSOCIADAS DE ENSINO FAE;1
218;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE DUQUE DE CAXIAS;0
219;FACULDADE DE EDUCACAO CIENCIAS E ARTES DOM BOSCO DE MONTE APRAZIVEL;1
220;FACULDADE SAO JUDAS TADEU;1
221;UNIVERSIDADE CRUZEIRO DO SUL;1
222;CENTRO UNIVERSITARIO DE VOTUPORANGA;1
223;FACULDADE DE EDUCACAO FISICA DE SANTO ANDRE;0
224;CENTRO UNIVERSITARIO FMABC;1
225;FACULDADE DE SANTO ANDRE;1
226;CENTRO UNIVERSITARIO LUSIADA;1
227;UNIVERSIDADE CATOLICA DE SANTOS;1
228;FACULDADE DE ENGENHARIA INDUSTRIAL DE SAO BERNARDO DO CAMPO;0
229;ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS DE SAO BERNARDO DO CAMPO;0
230;ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS DE SAO PAULO;0
231;FACULDADE DE SAO BERNARDO DO CAMPO;1
234;FACULDADES OSWALDO CRUZ;1
236;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S DE SAO JOAO DA BOA VISTA;0
237;FACULDADE DE DIREITO DE SAO JOAO DA BOA VISTA;0
238;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SAO JOAO DA BOA VISTA;0
239;FACULDADE DE MEDICINA VETERINARIA OCTAVIO BASTOS;0
240;UNIVERSIDADE SANTA URSULA;1
241;FACULDADE DE ENGENHARIA QUIMICA DE LORENA;0
242;CENTRO UNIVERSITARIO ANHANGUERA PITAGORAS AMPLI;1
243;FACULDADE DO CLUBE NAUTICO MOGIANO;1
244;CENTRO UNIVERSITARIO FIEO;1
245;FACULDADE DE ADMINISTRACAO;0
254;CENTRO UNIVERSITARIO UNIBAN;1
255;FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA FEAP;0
256;FACULDADE DE PIRAJU;0
257;FACULDADE DE ADMINISTRACAO E CIENCIAS CONTABEIS LUZWELL;0
263;FACULDADES INTEGRADAS CAMPOS SALLES;1
264;UNIVERSIDADE SAO MARCOS;0
265;CENTRO UNIVERSITARIO DAS FACULDADES INTEGRADAS DE OURINHOS;1
266;UNIVERSIDADE METODISTA DE PIRACICABA;1
267;CENTRO UNIVERSITARIO ESPIRITOSANTENSE/FAESA;1
268;FACULDADE DE DIREITO DA ALTA PAULISTA;0
269;FACULDADE FACCAT;1
270;FACULDADE DE TUPA;0
271;UNIVERSIDADE DO OESTE PAULISTA;1
273;ESCOLA DE ENGENHARIA INDUSTRIAL DE SAO JOSE DOS CAMPOS;0
274;FACULDADE DE CIENCIAS APLICADAS DE SAO JOSE DOS CAMPOS;0
275;UNIVERSIDADE DO VALE DO PARAIBA;1
276;FACULDADE DE DIREITO DE SOROCABA;1
277;CENTRO UNIVERSITARIO AUGUSTO MOTTA;1
278;FACULDADES INTEGRADAS SIMONSEN;1
279;CENTRO UNIVERSITARIO HELIO ALONSO;1
280;FACULDADE DE DIREITO DO OESTE DE MINAS;0
281;CONSERVATORIO DRAMATICO MUSICAL SAO PAULO;0
282;FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTABEIS COSTA BRAGA;0
283;FACULDADE DE EDUCACAO COSTA BRAGA;0
284;FACULDADE DE MEDICINA DE ITAJUBA;1
288;FACULDADE DE DIREITO DO VALE DO RIO DOCE;1
289;FACULDADE DE EDUCACAO DE JOINVILLE;0
290;FACULDADE DE DIREITO DE JOINVILLE;0
291;FACULDADE DE PSICOLOGIA DE JOINVILLE;0
292;FACULDADE DE CIENCIAS DA SAUDE DE JOINVILLE;0
293;FACULDADE DE CIENCIAS E TECNOLOGIA DE JOINVILLE;0
294;FACULDADE TRES DE MAIO;1
295;UNIVERSIDADE DE SANTA CRUZ DO SUL;1
296;CENTRO UNIVERSITARIO DA REGIAO DA CAMPANHA;1
297;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S SAO JUDAS TADEU;0
298;UNIVERSIDADE PITAGORAS UNOPAR ANHANGUERA;1
299;FACULDADE DE JANDAIA DO SUL;1
300;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE FORMIGA;0
301;ESCOLA DE BIBLIOTECONOMIA;0
302;FACULDADE DIVINOPOLIS;0
303;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CATAGUASES;0
304;FACULDADE DE CIENCIAS CONTABEIS DE CARATINGA;0
307;FACULDADE DE MEDICINA DE BARBACENA;1
308;CENTRO UNIVERSITARIO PRESIDENTE ANTONIO CARLOS;1
