municipio;id;nome;cod_importacao
1301654;130165405;Guajará;05
1301704;130170405;Humaitá;05
1301704;130170410;Realidade;10
1301803;130180305;Ipixuna;05
1301852;130185205;Iranduba;05
1301852;130185210;Ariaú;10
1301852;130185215;Cacau Pirêra;15
1301852;130185220;Lago do Limão;20
1301852;130185225;Paricatuba;25
1301902;130190205;Itacoatiara;05
1301902;130190210;Amatari;10
1301951;130195105;Itamarati;05
1302009;130200905;Itapiranga;05
1302108;130210805;Japurá;05
1302108;130210810;Vila Bitencourt;10
1302207;130220705;Juruá;05
1302306;130230605;Jutaí;05
1302405;130240505;Lábrea;05
1302504;130250405;Manacapuru;05
1302553;130255305;Manaquiri;05
1302603;130260305;Manaus;05
1302702;130270205;Manicoré;05
1302702;130270210;Santo Antônio do Matupi;10
1302801;130280105;Maraã;05
1302900;130290005;Maués;05
1302900;130290010;Osório da Fonseca;10
1302900;130290015;Repartimento;15
1303007;130300705;Nhamundá;05
1303106;130310605;Nova Olinda do Norte;05
1303205;130320505;Novo Airão;05
1303304;130330405;Novo Aripuanã;05
1303403;130340305;Parintins;05
1303403;130340310;Mocambo;10
1303403;130340315;Caburi;15
1303403;130340320;Vila Amazônia;20
1303403;130340325;Tracajá;25
1303403;130340330;Uaicurapá;30
1303502;130350205;Pauini;05
1303536;130353605;Presidente Figueiredo;05
1303536;130353610;Balbina;10
1303569;130356905;Rio Preto da Eva;05
1303601;130360105;Santa Isabel do Rio Negro;05
1303700;130370005;Santo Antônio do Içá;05
1303700;130370015;Alterosa;15
1303809;130380905;São Gabriel da Cachoeira;05
1303809;130380912;Cucui;12
1303809;130380915;Içana;15
1303809;130380920;São Felipe;20
1303908;130390805;São Paulo de Olivença;05
1303908;130390815;Santa Rita;15
1303957;130395705;São Sebastião do Uatumã;05
1303957;130395710;Santana;10
1304005;130400505;Silves;05
1304062;130406205;Tabatinga;05
1304104;130410405;Tapauá;05
1304203;130420305;Tefé;05
1304237;130423705;Tonantins;05
1304260;130426005;Uarini;05
1304302;130430205;Urucará;05
1304401;130440105;Urucurituba;05
1304401;130440110;Augusto Montenegro;10
1304401;130440115;Itapeaçú;15
1400027;140002705;Amajari;05
1400050;140005005;Alto Alegre;05
1400100;140010005;Boa Vista;05
1400159;140015905;Bonfim;05
1400175;140017505;Cantá;05
1400209;140020905;Caracaraí;05
1400233;140023305;Caroebe;05
1400282;140028205;Iracema;05
1400308;140030805;Mucajaí;05
1400407;140040705;Normandia;05
1400456;140045605;Pacaraima;05
1400472;140047205;Rorainópolis;05
1400506;140050605;São João da Baliza;05
1400605;140060505;São Luiz;05
1400704;140070405;Uiramutã;05
1500107;150010705;Abaetetuba;05
1500107;150010710;Beja;10
1500131;150013105;Abel Figueiredo;05
1500206;150020605;Acará;05
1500206;150020610;Guajará-Miri;10
1500206;150020615;Jaguarari;15
1500305;150030505;Afuá;05
1500347;150034705;Água Azul do Norte;05
1500404;150040405;Alenquer;05
1500503;150050305;Almeirim;05
1500503;150050310;Arumanduba;10
1500503;150050315;Monte Dourado;15
1500602;150060205;Altamira;05
1500602;150060206;Cachoeira da Serra;06
1500602;150060207;Castelo dos Sonhos;07
1500701;150070105;Anajás;05
1500800;150080005;Ananindeua;05
1500859;150085905;Anapu;05
1500909;150090905;Augusto Corrêa;05
1500909;150090910;Aturiaí;10
1500909;150090915;Emboraí;15
1500909;150090920;Itapixuna;20
1500958;150095805;Aurora do Pará;05
1501006;150100605;Aveiro;05
1501006;150100610;Brasília Legal;10
1501006;150100615;Pinhel;15
1501105;150110505;Bagre;05
1501105;150110510;Pedreira;10
1501204;150120405;Baião;05
1501204;150120410;Joana Peres;10
1501204;150120420;São Joaquim do Ituquara;20
1501204;150120430;Umarizal do Tocantins;30
1501253;150125305;Bannach;05
1501303;150130305;Barcarena;05
1501303;150130310;Murucupi;10
1501402;150140205;Belém;05
1501402;150140245;Bengui;45
1501402;150140250;Entroncamento;50
1501402;150140255;Guamá;55
1501402;150140260;Icoaraci;60
1501402;150140265;Mosqueiro;65
1501402;150140267;Outeiro;67
1501402;150140275;Sacramenta;75
1501451;150145105;Belterra;05
1501501;150150105;Benevides;05
1501501;150150110;Benfica;10
1501576;150157605;Bom Jesus do Tocantins;05
1501600;150160005;Bonito;05
1501709;150170905;Bragança;05
1501709;150170910;Almoço;10
1501709;150170915;Caratateua;15
1501709;150170920;Nova Mocajuba;20
1501709;150170930;Tijoca;30
1501709;150170940;Treme;40
1501725;150172505;Brasil Novo;05
1501758;150175805;Brejo Grande do Araguaia;05
1501758;150175815;São Raimundo do Araguaia;15
1501782;150178205;Breu Branco;05
1501808;150180805;Breves;05
1501808;150180810;Antônio Lemos;10
1501808;150180815;Curumu;15
1501808;150180820;São Miguel dos Macacos;20
1501907;150190705;Bujaru;05
1501907;150190710;Guajará-Açu;10
1501956;150195605;Cachoeira do Piriá;05
1502004;150200405;Cachoeira do Arari;05
1502103;150210305;Cametá;05
1502103;150210307;Areião;07
